TPDV,108,勞訴,171,20191219,1
SLDV,108,勞訴,69,20191115,1
CHDV,108,勞訴,20,20191114,1
TCDV,107,勞訴,251,20190425,1
TCDV,108,勞訴,141,20191209,1
CTDV,108,勞訴,82,20191120,1
CTDV,108,勞訴,88,20191129,1
KSDV,108,勞訴,155,20191230,1
KSDV,108,勞訴,111,20191211,1
CTDV,108,勞訴,113,20191223,1
CTDV,108,勞訴,116,20200122,1
CTDV,108,勞訴,106,20191213,1
CTDV,108,勞訴,61,20191205,1
PTDV,108,勞訴,36,20191226,1
TNDV,106,勞訴,29,20180109,1
TPDV,104,勞訴,15,20160122,1
TCDV,107,勞訴,186,20190326,1
PCDV,107,重勞訴,19,20190125,1
SLDV,108,勞訴,1,20200210,1
SCDV,109,勞訴,73,20210226,1
KSDV,109,重勞訴,12,20201130,1
SCDV,109,勞訴,69,20210226,1
SCDV,109,勞訴,67,20210226,1
CTDV,108,勞訴,30,20200210,1
TPDV,110,勞訴,42,20210226,1
CTDV,110,勞訴,25,20210329,1
TPDV,110,勞訴,4,20210505,1
CTDV,110,勞訴,57,20210719,1
CTDV,110,勞訴,53,20210430,1
CTDV,110,勞訴,81,20210730,1
CTDV,110,勞訴,80,20210730,1
TPDV,90,勞訴,49,20030325,1
CHDV,94,勞訴,18,20050822,1
MLDV,94,勞訴,6,20050824,3
KSDV,93,勞訴,57,20050412,1
NTDV,94,勞訴,2,20050823,1
SCDV,91,勞訴,7,20021022,1
TPDV,91,勞訴,49,20020730,1
TPDV,91,勞訴,114,20020812,1
KSDV,91,訴,1123,20021004,1
TPDV,91,勞訴,81,20020924,1
CHDV,91,勞訴,16,20021126,1
CHDV,91,勞訴,18,20021108,1
CHDV,91,勞訴,20,20021126,1
KSDV,91,訴,1123,20021009,1
TPDV,105,勞訴,157,20170330,1
TPDV,104,勞訴,206,20170428,1
PCDV,105,勞訴,36,20161226,2
CTDV,106,勞訴,87,20170930,1
TPDV,105,勞訴,244,20170518,1
CHDV,105,重勞訴,2,20170525,2
CTDV,106,勞訴,82,20170930,1
CTDV,106,勞訴,75,20170929,1
CTDV,106,勞訴,74,20170929,1
CTDV,106,勞訴,78,20171012,1
CTDV,106,勞訴,58,20170907,1
CTDV,106,勞訴,88,20171031,1
CTDV,106,勞訴,103,20171130,1
PCDV,89,勞訴,12,20010403,1
PCDV,89,勞訴,35,20010627,2
SLDV,88,勞訴,14,20000829
