CTDV,111,勞訴,4,20220217,1
CTDV,111,勞訴,3,20220217,1
CTDV,111,勞訴,3,20220315,2
CTDV,111,勞訴,8,20220211,1
CTDV,111,勞訴,12,20220125,1
CTDV,111,勞訴,13,20220125,1
CTDV,111,勞訴,32,20220222,1
PTDV,110,勞訴,54,20220120,1
PTDV,110,勞訴,54,20220215,2
PTDV,110,勞訴,54,20220221,3
CTDV,111,勞訴,14,20220224,1
CTDV,111,勞訴,42,20220304,1
CTDV,111,勞訴,42,20220318,2
CTDV,111,勞訴,16,20220303,1
CTDV,111,勞訴,40,20220304,1
CTDV,111,勞訴,36,20220317,1
CTDV,111,勞訴,36,20220329,2
CTDV,110,勞訴,218,20220307,1
CTDV,111,勞訴,35,20220317,1
CTDV,111,勞訴,53,20220318,1
CHDV,92,勞訴,34,20040130,1
CHDV,92,勞訴,34,20040322,2
CHDV,93,勞訴,2,20040416,1
PTDV,92,勞訴,2,20030611,1
KSHV,92,勞上易,31,20031209,1
KSHV,92,勞上易,31,20031209,2
KSDV,89,勞訴,48,20010530,1
TYDV,88,勞訴,14,20000128
TPHV,89,勞上,13,20000627
TPDV,90,勞訴,7,20010628
TNDV,90,勞訴,5,20011004,1
HLDV,90,勞訴,3,20010820,1
SLDV,103,勞訴,1,20140331,1
TPDV,102,重勞訴,13,20140321,1
TPDV,102,重勞訴,13,20140417,2
KSDV,103,勞訴,23,20140604,1
TPDV,104,勞訴,252,20160420,4
PCDV,104,勞訴,131,20160226,1
TCDV,104,勞訴,160,20160413,1
TCDV,104,勞訴,160,20160520,2
TNDV,104,勞訴,11,20150529,1
TNDV,104,勞訴,11,20150714,2
TNHV,104,勞上易,20,20160815,1
CYDV,105,勞訴,4,20160531,1
CYDV,105,勞訴,4,20160629,2
TPDV,89,勞訴,35,20000817
TPDV,89,勞訴,35,20000905
TPDV,88,勞訴,96,20000410
TPHV,90,勞再易,3,20010221,1
TCDV,101,勞訴,104,20120810,1
TCDV,101,勞訴,104,20130329,2
TCDV,101,勞訴,104,20130501,3
TCDV,101,勞訴,87,20121129,1
TCDV,101,勞訴,87,20130531,4
TCHV,102,勞上,24,20131028,1
TCHV,102,勞上,24,20140212,3
TCHV,102,勞上,24,20140306,4
TPSV,106,台上,80,20170302
TPSV,87,台上,2754,19981126
TPHV,89,勞上更,6,20001212,1
TPHV,89,勞上更,6,20001212,2
TPDV,91,勞訴,60,20020722,1
TPDV,91,勞訴,123,20021003,1
TPDV,91,勞訴,123,20021125,1
TPDV,91,勞訴,125,20021119,1
TPHV,92,勞再易,14,20031119,1
TPHV,94,勞再易,15,20050912,1
TPHV,94,勞再易,15,20051031,2
TPDV,91,勞訴,84,20021223,1
SLDV,91,勞訴,25,20030328,1
PCDV,90,勞訴,8,20020606,1
CHDV,92,勞訴,5,20030227,1
CHDV,92,勞訴,3,20030311,1
CHDV,91,勞訴,27,20021212,2
CHDV,91,勞訴,27,20030218,1
CHDV,92,勞訴,10,20030508,1
KSDV,91,勞訴,58,20030213,1
TPDV,94,勞訴,128,20051130,1
TPHV,95,重勞上,4,20060120,1
TPHV,95,重勞上,4,20060206,2
TPHV,100,重勞上更(三),1,20110929,1
ULDV,94,勞訴,3,20050511,2
ULDV,94,勞訴,3,20051104,1
ULDV,94,勞訴,3,20051223,3
TPDV,100,勞訴,233,20120511,1
TPDV,100,勞訴,261,20120626,1
TPDV,100,勞訴,261,20120719,2
TCDV,100,勞訴,147,20121004,1
TCDV,100,勞訴,147,20121030,2
SLDV,104,勞訴,1,20150728,1
TPDV,103,重勞訴,37,20150820,2
TPHV,104,重勞上,36,20160628,2
TPDV,104,勞訴,244,20160128,2
PCDV,104,勞訴,88,20151217,1
TCDV,104,勞訴,79,20151109,1
TCDV,104,勞訴,79,20160111,2
TCHV,105,勞上,7,20160615,2
TCDV,103,勞訴,123,20151104,1
TCDV,103,勞訴,123,20151202,2
CYDV,104,勞訴,18,20151117,1
CYDV,104,勞訴,18,20151210,2
KSDV,103,勞訴,25,20150515,1
KSDV,103,勞訴,25,20150717,2
KSDV,103,勞訴,25,20150814,3
KSHV,104,勞上易,27,20160412,1
KSHV,105,勞再易,1,20170125,1
KSDV,104,勞訴,92,20151208,1
KSDV,104,勞訴,92,20160115,2
KSDV,105,勞訴,44,20160331,1
KSDV,104,勞訴,19,20151214,1
KSDV,104,勞訴,97,20151228,1
KSDV,103,勞訴,66,20150828,1
KSDV,103,勞訴,66,20151216,2
TYEV,98,桃勞簡,23,20091113,1
TYEV,98,桃勞簡,23,20100326,3
TPDV,98,勞訴,187,20100210,1
TPDV,99,勞訴,29,20100331,1
TPHV,99,勞再易,7,20100817,2
TCDV,97,勞訴,64,20090526,1
TCDV,97,勞訴,64,20090814,2
TCDV,98,勞訴,100,20100409,2
TCDV,98,勞訴,97,20100211,1
TCDV,98,勞訴,97,20100409,2
TCDV,98,勞訴,97,20100430,3
TCHV,99,勞上易,30,20100625,1
TCDV,98,勞訴,97,20100709,4
TNDV,98,勞訴,18,20091027,1
TNDV,98,勞訴,18,20091215,2
KSDV,99,勞訴,19,20100423,1
KSDV,99,勞訴,10,20100511,1
KSDV,99,勞訴,10,20100601,2
TYDV,111,勞訴,3,20220518,1
TYDV,111,勞訴,3,20220613,2
SCDV,109,勞訴,43,20210426,1
TPDV,110,勞訴,354,20220225,1
TYDV,110,勞訴,118,20220303,2
TPDV,110,勞訴,282,20211203,1
TPDV,110,勞訴,303,20211203,1
TPDV,110,勞訴,337,20211129,1
TPDV,110,勞訴,337,20220209,2
TPDV,110,勞訴,337,20220329,3
TPDV,110,勞訴,379,20211229,1
TPDV,110,勞訴,379,20220308,2
MLDV,111,勞訴,4,20220419,1
MLDV,112,司他,22,20230828,1
CYDV,110,勞訴,35,20211223,1
CYDV,110,勞訴,36,20220113,1
CYDV,110,勞訴,36,20220128,2
CTDV,110,勞訴,82,20211223,1
CTDV,110,勞訴,82,20220117,2
CTDV,111,勞訴,31,20220311,1
CTDV,111,勞訴,85,20220401,1
CTDV,111,勞訴,85,20220425,2
CTDV,111,勞訴,85,20220425,3
CTDV,111,勞訴,93,20220428,1
CTDV,111,勞訴,93,20220517,2
CTDV,111,勞訴,69,20220502,1
CTDV,111,勞訴,69,20220516,2
CTDV,111,勞訴,60,20220425,1
CTDV,111,勞訴,67,20220502,1
CTDV,111,勞訴,74,20220505,1
CTDV,111,勞訴,76,20220505,1
CTDV,111,勞訴,75,20220505,1
CTDV,111,勞訴,80,20220512,1
CTDV,111,勞訴,80,20220530,2
CTDV,111,勞訴,116,20220520,1
CTDV,111,勞訴,116,20220602,2
CTDV,111,勞訴,98,20220523,1
CTDV,111,勞訴,95,20220523,1
CTDV,111,勞訴,106,20220518,1
CTDV,111,勞訴,92,20220429,1
CTDV,111,勞訴,110,20220518,1
KSDV,110,勞訴,138,20211215,1
KSDV,110,勞訴,138,20220111,2
CTDV,110,勞訴,90,20220107,1
CTDV,110,勞訴,90,20220207,2
PCDV,90,勞訴,11,20010830,1
TYDV,98,勞訴,31,20090706,1
TYDV,98,勞訴,31,20090706,2
SLDV,97,勞訴,50,20090421,1
SLDV,97,勞訴,50,20090513,2
TPDV,97,重勞訴,15,20090123,1
TPDV,98,重勞訴,17,20100119,1
TPDV,98,重勞訴,17,20100430,2
TPDV,102,勞訴,92,20131129,1
TPDV,101,勞訴,252,20140204,1
TPDV,101,勞訴,252,20140220,3
TPDV,101,勞訴,252,20140312,4
TCDV,102,勞訴,63,20140221,1
CHDV,102,勞訴,26,20140331,1
TNDV,103,勞訴,1,20140422,1
KSDV,102,勞訴,92,20131218,1
KSDV,102,勞訴,92,20140113,2
KSHV,103,勞上易,8,20140430,1
TPDV,97,重勞訴,24,20100414,2
TPDV,97,重勞訴,24,20121212,2
TPDV,97,重勞訴,24,20130830,5
TYDV,103,勞訴,23,20140407,1
TYDV,103,勞訴,23,20141229,3
TPHV,104,勞抗,4,20150129,1
TYDV,101,勞訴,61,20130830,1
TPDV,102,勞訴,129,20140227,1
CHDV,103,勞訴,12,20140708,1
CHDV,104,勞訴,32,20160614,1
CHDV,104,勞訴,32,20160804,2
CHDV,104,勞訴,32,20160829,3
TCHV,105,勞上,30,20170613,1
TYDV,108,勞訴,57,20200327,2
TPDV,106,重勞訴,24,20171208,1
TPDV,106,重勞訴,24,20180119,2
TPHV,107,重勞上,21,20200506,2
TYDV,107,勞訴,29,20180517,1
TPHV,109,勞再易,2,20200211,1
TCDV,108,勞訴,152,20191008,1
TCDV,108,勞訴,152,20191101,2
TNDV,107,勞訴,68,20190522,1
TNDV,107,勞訴,68,20190624,2
CTDV,108,勞訴,74,20191125,1
CTDV,108,勞訴,90,20191128,1
CTDV,108,勞訴,90,20191210,2
CTDV,108,勞訴,98,20191128,1
CTDV,108,勞訴,67,20191024,1
CTDV,108,勞訴,67,20191108,2
CTDV,108,勞訴,73,20191112,1
CTDV,108,勞訴,73,20191203,2
CTDV,108,勞訴,93,20191219,1
CTDV,108,勞訴,83,20191205,1
CTDV,108,勞訴,110,20200102,1
CTDV,108,勞訴,110,20200120,2
CLEV,96,壢勞簡,13,20070917,2
TPDV,94,重勞訴,12,20060124,1
TPDV,94,重勞訴,12,20060303,2
SLDV,94,勞訴,42,20060925,1
SLDV,94,勞訴,42,20061109,2
SLDV,94,勞訴,42,20061205,3
TPDV,96,勞訴,29,20070320,1
TPDV,96,勞訴,29,20070430,2
TPDV,96,勞訴,29,20070523,3
TPDV,95,勞訴,102,20061130,1
TPDV,95,勞訴,102,20061218,2
TPDV,95,勞訴,102,20061227,3
PCDV,95,勞訴,100,20070227,1
TPEV,96,北勞訴,2,20070430,1
TPHV,110,勞再易,4,20210303,1
TPHV,110,勞再易,4,20210318,2
TPHV,110,勞聲,17,20210414,1
TPHV,110,勞再易,7,20210414,1
TPHV,110,聲再,90,20210527,1
TPHV,110,勞再易,9,20210527,1
CYDV,95,勞訴,12,20070330,1
TYDV,95,勞訴,26,20060925,2
TPDV,95,勞訴,174,20070118,1
TPDV,95,勞訴,174,20070124,2
TPDV,95,勞訴,174,20070303,3
TPDV,94,勞訴,166,20051220,2
TPDV,94,勞訴,166,20051220,1
TPDV,94,勞訴,166,20060214,1
TCDV,95,勞訴,119,20061213,1
TCDV,95,勞訴,119,20070124,2
TCDV,95,勞訴,119,20070216,1
TCDV,95,勞訴,119,20070216,3
TCDV,96,勞訴,5,20070313,1
TCDV,96,勞訴,5,20070409,2
CHDV,96,勞訴,3,20070430,1
CYDV,95,勞訴,8,20070131,1
CYDV,95,勞訴,8,20070131,2
CYDV,95,勞訴,8,20070330,1
CYDV,95,勞訴,8,20070426,3
KSDV,95,勞訴,64,20070323,2
KSDV,95,勞訴,64,20070323,1
KSDV,95,勞訴,64,20070417,2
KSDV,96,勞訴,6,20070416,1
KSDV,96,勞訴,6,20070504,2
KSHV,96,勞上易,14,20070815,2
SLDV,92,勞訴,1,20031014,1
CYDV,92,勞訴,6,20040309,1
TPDV,91,勞訴,196,20030408,1
TPDV,94,勞訴,96,20051124,1
ULDV,93,勞訴,8,20051031,1
ULDV,93,勞訴,8,20051130,1
CYDV,94,勞訴,2,20050531,1
KSDV,94,勞訴,23,20051004,1
TYDV,109,勞訴,35,20210329,2
MLDV,109,勞訴,7,20201030,1
MLDV,110,司他,6,20210505,1
CYDV,109,勞訴,7,20200813,1
CYDV,109,勞訴,7,20200908,2
